#index	label	wavelength	comment
162	P  4            0 		net cooling due to database species
163	P  6            0 		net cooling due to database species
164	S  1            0 		net cooling due to database species
165	S  2            0 		net cooling due to database species
166	S  3            0 		net cooling due to database species
167	Sc 1            0 		net cooling due to database species
168	Sc10            0 		net cooling due to database species
169	Sc11            0 		net cooling due to database species
170	Sc12            0 		net cooling due to database species
171	Sc13            0 		net cooling due to database species
172	Sc14            0 		net cooling due to database species
173	Sc15            0 		net cooling due to database species
174	Sc16            0 		net cooling due to database species
175	Sc17            0 		net cooling due to database species
176	Sc18            0 		net cooling due to database species
177	Sc 2            0 		net cooling due to database species
178	Sc 3            0 		net cooling due to database species
179	Sc 4            0 		net cooling due to database species
180	Sc 5            0 		net cooling due to database species
181	Sc 6            0 		net cooling due to database species
182	Sc 7            0 		net cooling due to database species
183	Sc 8            0 		net cooling due to database species
184	Sc 9            0 		net cooling due to database species
185	Si 1            0 		net cooling due to database species
186	Si 2            0 		net cooling due to database species
187	Si 3            0 		net cooling due to database species
188	Si 4            0 		net cooling due to database species
189	Si 7            0 		net cooling due to database species
190	Si 9            0 		net cooling due to database species
191	Ti10            0 		net cooling due to database species
192	Ti13            0 		net cooling due to database species
193	Ti 3            0 		net cooling due to database species
194	Ti 4            0 		net cooling due to database species
195	Ti 5            0 		net cooling due to database species
196	Ti 6            0 		net cooling due to database species
197	Ti 7            0 		net cooling due to database species
198	Ti 8            0 		net cooling due to database species
199	Ti 9            0 		net cooling due to database species
200	V 10            0 		net cooling due to database species
201	V 11            0 		net cooling due to database species
202	V 12            0 		net cooling due to database species
203	V 13            0 		net cooling due to database species
204	V 15            0 		net cooling due to database species
205	V 16            0 		net cooling due to database species
206	V 17            0 		net cooling due to database species
207	V 18            0 		net cooling due to database species
208	V 19            0 		net cooling due to database species
209	V 20            0 		net cooling due to database species
210	V 21            0 		net cooling due to database species
211	V  4            0 		net cooling due to database species
212	V  6            0 		net cooling due to database species
213	V  7            0 		net cooling due to database species
214	V  8            0 		net cooling due to database species
215	V  9            0 		net cooling due to database species
216	Zn 2            0 		net cooling due to database species
217	Zn 4            0 		net cooling due to database species
218	Al10            0 		net cooling due to database species
219	Al11            0 		net cooling due to database species
220	Al 2            0 		net cooling due to database species
221	Al 5            0 		net cooling due to database species
222	Al 7            0 		net cooling due to database species
223	Al 8            0 		net cooling due to database species
224	Al 9            0 		net cooling due to database species
225	Ar10            0 		net cooling due to database species
226	Ar11            0 		net cooling due to database species
227	Ar12            0 		net cooling due to database species
228	Ar13            0 		net cooling due to database species
229	Ar14            0 		net cooling due to database species
230	Ar15            0 		net cooling due to database species
231	Ar16            0 		net cooling due to database species
232	Ar 7            0 		net cooling due to database species
233	Ar 8            0 		net cooling due to database species
234	Ar 9            0 		net cooling due to database species
235	C  4            0 		net cooling due to database species
236	Ca10            0 		net cooling due to database species
237	Ca11            0 		net cooling due to database species
238	Ca12            0 		net cooling due to database species
239	Ca13            0 		net cooling due to database species
240	Ca14            0 		net cooling due to database species
241	Ca15            0 		net cooling due to database species
242	Ca16            0 		net cooling due to database species
243	Ca17            0 		net cooling due to database species
244	Ca18            0 		net cooling due to database species
245	Ca 2            0 		net cooling due to database species
246	Ca 5            0 		net cooling due to database species
247	Ca 7            0 		net cooling due to database species
248	Ca 8            0 		net cooling due to database species
249	Ca 9            0 		net cooling due to database species
250	Cl 2            0 		net cooling due to database species
251	Cl 3            0 		net cooling due to database species
252	Cl 4            0 		net cooling due to database species
253	Cl10            0 		net cooling due to database species
254	Cl11            0 		net cooling due to database species
255	Cl12            0 		net cooling due to database species
256	Cl14            0 		net cooling due to database species
257	Co17            0 		net cooling due to database species
258	Co19            0 		net cooling due to database species
259	Co20            0 		net cooling due to database species
