# Temperature	Lambda (erg cm3/s)	Np	Ne	L (erg/cm3/s)	H (erg/cm3/s)	Top Cooler	Cfrac	Top Heater	Hfrac
5.01187e+04	2.67608e-22	1.00000e+02	1.16574e+02	3.11960e-18	1.13290e-20	C  3 977.0	0.5069754	H  1	0.7905444 
6.30957e+04	4.56352e-22	1.00000e+02	1.18222e+02	5.39510e-18	8.47850e-21	C  3 977.0	0.4892901	H  1	0.7152229 
7.94328e+04	6.95937e-22	1.00000e+02	1.25401e+02	8.72710e-18	5.81560e-21	C  3 977.0	0.4363102	H  1	0.6766915 
1.00000e+05	7.88068e-22	1.00000e+02	1.30978e+02	1.03220e-17	3.34490e-21	C  3 977.0	0.3347463	H  1	0.7381219 
1.25893e+05	5.73409e-22	1.00000e+02	1.32434e+02	7.59390e-18	1.88310e-21	N  4 765.0	0.2229836	H  1	0.8649489 
1.58489e+05	4.35543e-22	1.00000e+02	1.32770e+02	5.78270e-18	1.43670e-21	N  4 765.0	0.3574936	H  1	0.9174072 
1.99526e+05	2.98744e-22	1.00000e+02	1.32923e+02	3.97100e-18	1.27490e-21	N  4 765.0	0.2111655	H  1	0.9006489 
2.51189e+05	1.93421e-22	1.00000e+02	1.32954e+02	2.57160e-18	1.19570e-21	O  5 630.0	0.3143354	H  1	0.7717062 
3.16228e+05	1.14927e-22	1.00000e+02	1.33015e+02	1.52870e-18	5.48970e-22	O  5 630.0	0.2385281	H  1	0.7816041 
3.98107e+05	6.48537e-23	1.00000e+02	1.33015e+02	8.62650e-19	2.74710e-22	Ne 6 400.0	0.1530332	H  1	0.8055686 
5.01187e+05	5.02162e-23	1.00000e+02	1.33015e+02	6.67950e-19	1.91570e-22	Ne 6 400.0	0.1596808	H  1	0.7698021 
6.30957e+05	3.78299e-23	1.00000e+02	1.33045e+02	5.03310e-19	1.54260e-22	Ne 7 464.9	0.1264991	H  1	0.6454683 
7.94328e+05	3.06050e-23	1.00000e+02	1.33076e+02	4.07280e-19	1.45860e-22	FF c 0.0	0.0984221	H  1	0.4736800 
1.00000e+06	2.94042e-23	1.00000e+02	1.33107e+02	3.91390e-19	1.48050e-22	FF c 0.0	0.1143418	H  1	0.3384683 
1.25893e+06	2.88680e-23	1.00000e+02	1.33168e+02	3.84430e-19	1.55040e-22	FF c 0.0	0.1307511	H  1	0.2436116 
1.58489e+06	2.68336e-23	1.00000e+02	1.33199e+02	3.57420e-19	1.29920e-22	FF c 0.0	0.1570798	H  1	0.2258914 
1.99526e+06	2.28891e-23	1.00000e+02	1.33229e+02	3.04950e-19	1.11240e-22	FF c 0.0	0.2055582	C  6	0.2150271 
2.51189e+06	1.94357e-23	1.00000e+02	1.33260e+02	2.59000e-19	1.25090e-22	FF c 0.0	0.2701292	C  6	0.3158764 
3.16228e+06	1.63545e-23	1.00000e+02	1.33291e+02	2.17990e-19	1.21840e-22	FF c 0.0	0.3561500	C  6	0.4037729 
3.98107e+06	1.43423e-23	1.00000e+02	1.33291e+02	1.91170e-19	1.12370e-22	FF c 0.0	0.4533073	C  6	0.4350374 
5.01187e+06	1.33017e-23	1.00000e+02	1.33291e+02	1.77300e-19	8.64800e-23	FF c 0.0	0.5428479	C  6	0.3928853 
6.30957e+06	1.29874e-23	1.00000e+02	1.33291e+02	1.73110e-19	7.24780e-23	FF c 0.0	0.6180631	C  6	0.3307264 
7.94328e+06	1.31577e-23	1.00000e+02	1.33291e+02	1.75380e-19	6.68390e-23	FF c 0.0	0.6789963	C  6	0.2745642 
1.00000e+07	1.35335e-23	1.00000e+02	1.33321e+02	1.80430e-19	7.27140e-23	FF c 0.0	0.7314923	C  6	0.2209598 
1.25893e+07	1.40270e-23	1.00000e+02	1.33321e+02	1.87010e-19	7.06140e-23	FF c 0.0	0.7876216	C  6	0.1782105 
1.58489e+07	1.46008e-23	1.00000e+02	1.33321e+02	1.94660e-19	7.28270e-23	FF c 0.0	0.8411366	C  6	0.1551535 
1.99526e+07	1.55114e-23	1.00000e+02	1.33321e+02	2.06800e-19	7.48970e-23	FF c 0.0	0.8813232	C  6	0.1423948 
2.51189e+07	1.67332e-23	1.00000e+02	1.33321e+02	2.23090e-19	9.01560e-23	FF c 0.0	0.9108395	Comp	0.1807706 
3.16228e+07	1.81651e-23	1.00000e+02	1.33321e+02	2.42180e-19	1.02130e-22	FF c 0.0	0.9318722	Comp	0.2821060 
3.98107e+07	1.99773e-23	1.00000e+02	1.33321e+02	2.66340e-19	1.21680e-22	FF c 0.0	0.9474509	Comp	0.4077340 
5.01187e+07	2.20040e-23	1.00000e+02	1.33321e+02	2.93360e-19	1.56910e-22	FF c 0.0	0.9583257	Comp	0.5417466 
6.30957e+07	2.43532e-23	1.00000e+02	1.33321e+02	3.24680e-19	2.18610e-22	FF c 0.0	0.9659662	Comp	0.6659837 
7.94328e+07	2.70654e-23	1.00000e+02	1.33321e+02	3.60840e-19	3.23430e-22	FF c 0.0	0.9711878	Comp	0.7689195 
1.00000e+08	3.00424e-23	1.00000e+02	1.33321e+02	4.00530e-19	4.94590e-22	FF c 0.0	0.9741390	Comp	0.8473763 
1.25893e+08	3.36360e-23	1.00000e+02	1.33321e+02	4.48440e-19	7.80830e-22	FF c 0.0	0.9747746	Comp	0.9040861 
1.58489e+08	3.76436e-23	1.00000e+02	1.33321e+02	5.01870e-19	1.23940e-21	FF c 0.0	0.9724782	Comp	0.9418564 
1.99526e+08	4.23233e-23	1.00000e+02	1.33321e+02	5.64260e-19	1.97110e-21	FF c 0.0	0.9668634	Comp	0.9657320 
2.51189e+08	4.77028e-23	1.00000e+02	1.33321e+02	6.35980e-19	2.81270e-21	FF c 0.0	0.9602674	Comp	0.9795544 
3.16228e+08	5.37183e-23	1.00000e+02	1.33321e+02	7.16180e-19	3.92390e-21	FF c 0.0	0.9511892	Comp	0.9877963 
3.98107e+08	6.10772e-23	1.00000e+02	1.33321e+02	8.14290e-19	5.54970e-21	FF c 0.0	0.9386877	Comp	0.9927992 
5.01187e+08	6.95455e-23	1.00000e+02	1.33321e+02	9.27190e-19	7.82040e-21	FF c 0.0	0.9218851	Comp	0.9957476 
6.30957e+08	7.97396e-23	1.00000e+02	1.33321e+02	1.06310e-18	1.10300e-20	FF c 0.0	0.9000538	Comp	0.9974931 
7.94328e+08	9.17632e-23	1.00000e+02	1.33321e+02	1.22340e-18	1.47470e-20	FF c 0.0	0.8765823	Comp	0.9984910 
1.00000e+09	1.05632e-22	1.00000e+02	1.33321e+02	1.40830e-18	1.89080e-20	FF c 0.0	0.8505493	Comp	0.9990699 
