# Temperature	Lambda (erg cm3/s)	Np	Ne	L (erg/cm3/s)	H (erg/cm3/s)	Top Cooler	Cfrac	Top Heater	Hfrac
1.00000e+02	3.38718e-25	9.95864e+01	1.15958e+02	3.92770e-21	8.57860e-19	N  3 572100.0	0.3259009	H  1	0.9080480 
1.25893e+02	4.88642e-25	9.96323e+01	1.16011e+02	5.66880e-21	7.43800e-19	N  3 572100.0	0.3908484	H  1	0.9096406 
1.58489e+02	6.75795e-25	9.96782e+01	1.16091e+02	7.84540e-21	6.44620e-19	N  3 572100.0	0.4253792	H  1	0.9108224 
1.99526e+02	8.84929e-25	9.97241e+01	1.16145e+02	1.02780e-20	5.58340e-19	N  3 572100.0	0.4406527	H  1	0.9117362 
2.51189e+02	1.09967e-24	9.97700e+01	1.16172e+02	1.27750e-20	4.83260e-19	N  3 572100.0	0.4445892	H  1	0.9124728 
3.16228e+02	1.30652e-24	9.97930e+01	1.16225e+02	1.51850e-20	4.17940e-19	N  3 572100.0	0.4416456	H  1	0.9130740 
3.98107e+02	1.49709e-24	9.98160e+01	1.16252e+02	1.74040e-20	3.61170e-19	N  3 572100.0	0.4344803	H  1	0.9135475 
5.01187e+02	1.66462e-24	9.98389e+01	1.16279e+02	1.93560e-20	3.11850e-19	N  3 572100.0	0.4249914	H  1	0.9138650 
6.30957e+02	1.80559e-24	9.98619e+01	1.16305e+02	2.10000e-20	2.69060e-19	N  3 572100.0	0.4144191	H  1	0.9139858 
7.94328e+02	1.91813e-24	9.98849e+01	1.16332e+02	2.23140e-20	2.31960e-19	N  3 572100.0	0.4036177	H  1	0.9138807 
1.00000e+03	2.00217e-24	9.99079e+01	1.16359e+02	2.32970e-20	1.99800e-19	N  3 572100.0	0.3931321	H  1	0.9135817 
1.25893e+03	2.06069e-24	9.99079e+01	1.16359e+02	2.39780e-20	1.71930e-19	N  3 572100.0	0.3830650	H  1	0.9131673 
1.58489e+03	2.09553e-24	9.99309e+01	1.16386e+02	2.43890e-20	1.47770e-19	N  3 572100.0	0.3735108	H  1	0.9127303 
1.99526e+03	2.11163e-24	9.99309e+01	1.16413e+02	2.45820e-20	1.26850e-19	N  3 572100.0	0.3642419	H  1	0.9123603 
2.51189e+03	2.11481e-24	9.99540e+01	1.16413e+02	2.46190e-20	1.08730e-19	N  3 572100.0	0.3548208	H  1	0.9121109 
3.16228e+03	2.11292e-24	9.99540e+01	1.16413e+02	2.45970e-20	9.30620e-20	N  3 572100.0	0.3443407	H  1	0.9120002 
3.98107e+03	2.12265e-24	9.99540e+01	1.16439e+02	2.47160e-20	7.95260e-20	N  3 572100.0	0.3305634	H  1	0.9120049 
5.01187e+03	2.17950e-24	9.99770e+01	1.16439e+02	2.53780e-20	6.78620e-20	N  3 572100.0	0.3092306	H  1	0.9118662 
6.30957e+03	2.31683e-24	9.99770e+01	1.16439e+02	2.69770e-20	5.78360e-20	N  3 572100.0	0.2784457	H  1	0.9113631 
7.94328e+03	2.64550e-24	9.99770e+01	1.16439e+02	3.08040e-20	4.92140e-20	N  3 572100.0	0.2327446	H  1	0.9106568 
1.00000e+04	3.42753e-24	9.99770e+01	1.16439e+02	3.99100e-20	4.18060e-20	O  3 5007.0	0.2129821	H  1	0.9097303 
1.25893e+04	5.35881e-24	9.99770e+01	1.16466e+02	6.24120e-20	3.54490e-20	C  3 1910.0	0.2793442	H  1	0.9085758 
1.58489e+04	9.94366e-24	9.99770e+01	1.16466e+02	1.15810e-19	3.00030e-20	C  3 1910.0	0.4487116	H  1	0.9069145 
1.99526e+04	2.00925e-23	9.99770e+01	1.16466e+02	2.34010e-19	2.53520e-20	C  3 1910.0	0.5136998	H  1	0.9036018 
2.51189e+04	4.12094e-23	1.00000e+02	1.16466e+02	4.79950e-19	2.13640e-20	C  3 1910.0	0.4731422	H  1	0.8958014 
3.16228e+04	8.18855e-23	1.00000e+02	1.16466e+02	9.53690e-19	1.78320e-20	C  3 1910.0	0.3825062	H  1	0.8787332 
3.98107e+04	1.52748e-22	1.00000e+02	1.16466e+02	1.77900e-18	1.45110e-20	C  3 977.0	0.4572168	H  1	0.8460374 
