# Temperature	Lambda (erg cm3/s)	Np	Ne	L (erg/cm3/s)	H (erg/cm3/s)	Top Cooler	Cfrac	Top Heater	Hfrac
1.00000e+02	2.75544e-25	9.60948e+01	1.11815e+02	3.08100e-21	7.94380e-19	ISrcolH H  0.0	0.3091839	H  1	0.9102651 
1.25893e+02	3.45454e-25	9.65828e+01	1.12409e+02	3.88320e-21	6.95380e-19	ISrcolH H  0.0	0.2804077	H  1	0.9111905 
1.58489e+02	4.36079e-25	9.70063e+01	1.12902e+02	4.92340e-21	6.07660e-19	ISrcolH H  0.0	0.2504889	H  1	0.9119700 
1.99526e+02	5.46086e-25	9.73868e+01	1.13370e+02	6.19100e-21	5.30130e-19	ISrcolH H  0.0	0.2228200	H  1	0.9126140 
2.51189e+02	6.72189e-25	9.77237e+01	1.13763e+02	7.64700e-21	4.61760e-19	N  3 572100.0	0.2444662	H  1	0.9131182 
3.16228e+02	8.09868e-25	9.80167e+01	1.14104e+02	9.24090e-21	4.01600e-19	N  3 572100.0	0.2656526	H  1	0.9135051 
3.98107e+02	9.54295e-25	9.82879e+01	1.14419e+02	1.09190e-20	3.48770e-19	N  3 572100.0	0.2800093	H  1	0.9137687 
5.01187e+02	1.09990e-24	9.85145e+01	1.14683e+02	1.26140e-20	3.02470e-19	N  3 572100.0	0.2892246	H  1	0.9138806 
6.30957e+02	1.24076e-24	9.87188e+01	1.14921e+02	1.42590e-20	2.61970e-19	N  3 572100.0	0.2948413	H  1	0.9138048 
7.94328e+02	1.37033e-24	9.88781e+01	1.15133e+02	1.57770e-20	2.26610e-19	N  3 572100.0	0.2981001	H  1	0.9135230 
1.00000e+03	1.48354e-24	9.90376e+01	1.15319e+02	1.71080e-20	1.95770e-19	N  3 572100.0	0.3000977	H  1	0.9130658 
1.25893e+03	1.57779e-24	9.91745e+01	1.15478e+02	1.82200e-20	1.68900e-19	N  3 572100.0	0.3012711	H  1	0.9124987 
1.58489e+03	1.65209e-24	9.92887e+01	1.15611e+02	1.91000e-20	1.45500e-19	N  3 572100.0	0.3021696	H  1	0.9119040 
1.99526e+03	1.70899e-24	9.93802e+01	1.15718e+02	1.97760e-20	1.25160e-19	N  3 572100.0	0.3029776	H  1	0.9113677 
2.51189e+03	1.75300e-24	9.94718e+01	1.15824e+02	2.03040e-20	1.07480e-19	N  3 572100.0	0.3021299	H  1	0.9109291 
3.16228e+03	1.79771e-24	9.95405e+01	1.15931e+02	2.08410e-20	9.21380e-20	N  3 572100.0	0.2976591	H  1	0.9106145 
3.98107e+03	1.87094e-24	9.96093e+01	1.16011e+02	2.17050e-20	7.88490e-20	N  3 572100.0	0.2858898	H  1	0.9104142 
5.01187e+03	2.02068e-24	9.96782e+01	1.16065e+02	2.34530e-20	6.73700e-20	N  3 572100.0	0.2622860	H  1	0.9100796 
6.30957e+03	2.28035e-24	9.97241e+01	1.16118e+02	2.64790e-20	5.74790e-20	N  3 572100.0	0.2286811	H  1	0.9093987 
7.94328e+03	2.76229e-24	9.97700e+01	1.16172e+02	3.20900e-20	4.89570e-20	N  3 572100.0	0.1847693	H  1	0.9085338 
1.00000e+04	3.72579e-24	9.97930e+01	1.16225e+02	4.33030e-20	4.16220e-20	O  3 5007.0	0.1491605	H  1	0.9074546 
1.25893e+04	5.91664e-24	9.98389e+01	1.16252e+02	6.87820e-20	3.53170e-20	C  3 1910.0	0.2449419	H  1	0.9061322 
1.58489e+04	1.10709e-23	9.98619e+01	1.16305e+02	1.28760e-19	2.98770e-20	C  3 1910.0	0.3912328	H  1	0.9042147 
1.99526e+04	2.27779e-23	9.98849e+01	1.16332e+02	2.64980e-19	2.50250e-20	C  3 1910.0	0.4390439	H  1	0.8999448 
2.51189e+04	4.72916e-23	9.99079e+01	1.16359e+02	5.50280e-19	2.01070e-20	C  3 1910.0	0.3951054	H  1	0.8872237 
3.16228e+04	9.21160e-23	9.99309e+01	1.16386e+02	1.07210e-18	1.44050e-20	C  3 1910.0	0.3188550	H  1	0.8502107 
3.98107e+04	1.63367e-22	9.99540e+01	1.16413e+02	1.90180e-18	8.84080e-21	C  3 977.0	0.3912841	H  1	0.7622786 
5.01187e+04	2.74062e-22	9.99770e+01	1.16547e+02	3.19410e-18	5.07900e-21	C  3 977.0	0.4516194	H  1	0.6234018 
6.30957e+04	4.59604e-22	1.00000e+02	1.18195e+02	5.43230e-18	2.92710e-21	C  3 977.0	0.4566278	H  1	0.5059628 
7.94328e+04	6.98274e-22	1.00000e+02	1.25401e+02	8.75640e-18	1.56930e-21	C  3 977.0	0.4234806	H  1	0.5070230 
1.00000e+05	7.91228e-22	1.00000e+02	1.30948e+02	1.03610e-17	8.37290e-22	C  3 977.0	0.3322255	H  1	0.6241234 
1.25893e+05	5.75343e-22	1.00000e+02	1.32434e+02	7.61950e-18	6.63680e-22	N  4 765.0	0.2219612	H  1	0.7998751 
1.58489e+05	4.36040e-22	1.00000e+02	1.32770e+02	5.78930e-18	8.79580e-22	N  4 765.0	0.3571003	H  1	0.8875706 
