# Temperature	Lambda (erg cm3/s)	Np	Ne	L (erg/cm3/s)	H (erg/cm3/s)	Top Cooler	Cfrac	Top Heater	Hfrac
1.99526e+05	2.99015e-22	1.00000e+02	1.32923e+02	3.97460e-18	9.67750e-22	N  4 765.0	0.2111073	H  1	0.8728418 
2.51189e+05	1.93579e-22	1.00000e+02	1.32954e+02	2.57370e-18	9.82030e-22	O  5 630.0	0.3140967	H  1	0.7230034 
3.16228e+05	1.15047e-22	1.00000e+02	1.33015e+02	1.53030e-18	3.59820e-22	O  5 630.0	0.2383449	H  1	0.6675638 
3.98107e+05	6.49281e-23	1.00000e+02	1.33015e+02	8.63640e-19	1.30980e-22	Ne 6 400.0	0.1528582	H  1	0.5927859 
5.01187e+05	5.02621e-23	1.00000e+02	1.33015e+02	6.68560e-19	8.93650e-23	Ne 6 400.0	0.1595385	H  1	0.5067053 
6.30957e+05	3.78600e-23	1.00000e+02	1.33045e+02	5.03710e-19	8.05810e-23	Ne 7 464.9	0.1264061	He 2	0.3231067 
7.94328e+05	3.06261e-23	1.00000e+02	1.33076e+02	4.07560e-19	9.16830e-23	FF c 0.0	0.0983552	He 2	0.2615301 
1.00000e+06	2.94192e-23	1.00000e+02	1.33107e+02	3.91590e-19	1.07700e-22	FF c 0.0	0.1142842	C  5	0.1800940 
1.25893e+06	2.88793e-23	1.00000e+02	1.33168e+02	3.84580e-19	1.24730e-22	FF c 0.0	0.1307020	C  5	0.2185937 
1.58489e+06	2.68419e-23	1.00000e+02	1.33199e+02	3.57530e-19	1.06870e-22	FF c 0.0	0.1570323	C  5	0.1800408 
1.99526e+06	2.28951e-23	1.00000e+02	1.33229e+02	3.05030e-19	9.35590e-23	FF c 0.0	0.2055033	C  6	0.2556649 
2.51189e+06	1.94402e-23	1.00000e+02	1.33260e+02	2.59060e-19	1.11490e-22	FF c 0.0	0.2700650	C  6	0.3544405 
3.16228e+06	1.63575e-23	1.00000e+02	1.33291e+02	2.18030e-19	1.11320e-22	FF c 0.0	0.3560735	C  6	0.4419451 
3.98107e+06	1.43446e-23	1.00000e+02	1.33291e+02	1.91200e-19	1.04210e-22	FF c 0.0	0.4532238	C  6	0.4691055 
5.01187e+06	1.33040e-23	1.00000e+02	1.33291e+02	1.77330e-19	8.00850e-23	FF c 0.0	0.5427664	C  6	0.4242850 
6.30957e+06	1.29889e-23	1.00000e+02	1.33291e+02	1.73130e-19	6.74660e-23	FF c 0.0	0.6179924	C  6	0.3553165 
7.94328e+06	1.31592e-23	1.00000e+02	1.33291e+02	1.75400e-19	6.29160e-23	FF c 0.0	0.6789411	C  6	0.2916997 
1.00000e+07	1.35342e-23	1.00000e+02	1.33321e+02	1.80440e-19	6.96780e-23	FF c 0.0	0.7314536	C  6	0.2306045 
1.25893e+07	1.40278e-23	1.00000e+02	1.33321e+02	1.87020e-19	6.82640e-23	FF c 0.0	0.7875973	C  6	0.1843582 
1.58489e+07	1.46008e-23	1.00000e+02	1.33321e+02	1.94660e-19	7.10180e-23	FF c 0.0	0.8411258	C  6	0.1591166 
1.99526e+07	1.55114e-23	1.00000e+02	1.33321e+02	2.06800e-19	7.35180e-23	FF c 0.0	0.8813255	C  6	0.1450784 
2.51189e+07	1.67332e-23	1.00000e+02	1.33321e+02	2.23090e-19	8.91270e-23	FF c 0.0	0.9108534	Comp	0.1826933 
3.16228e+07	1.81651e-23	1.00000e+02	1.33321e+02	2.42180e-19	1.01280e-22	FF c 0.0	0.9318937	Comp	0.2840928 
3.98107e+07	1.99765e-23	1.00000e+02	1.33321e+02	2.66330e-19	1.21010e-22	FF c 0.0	0.9474826	Comp	0.4095391 
5.01187e+07	2.20032e-23	1.00000e+02	1.33321e+02	2.93350e-19	1.56350e-22	FF c 0.0	0.9583652	Comp	0.5431014 
6.30957e+07	2.43524e-23	1.00000e+02	1.33321e+02	3.24670e-19	2.18100e-22	FF c 0.0	0.9660133	Comp	0.6668336 
7.94328e+07	2.70639e-23	1.00000e+02	1.33321e+02	3.60820e-19	3.22890e-22	FF c 0.0	0.9712430	Comp	0.7693802 
1.00000e+08	3.00402e-23	1.00000e+02	1.33321e+02	4.00500e-19	4.93920e-22	FF c 0.0	0.9742016	Comp	0.8475935 
1.25893e+08	3.36337e-23	1.00000e+02	1.33321e+02	4.48410e-19	7.79860e-22	FF c 0.0	0.9748451	Comp	0.9041757 
1.58489e+08	3.76406e-23	1.00000e+02	1.33321e+02	5.01830e-19	1.23790e-21	FF c 0.0	0.9725577	Comp	0.9418910 
1.99526e+08	4.23188e-23	1.00000e+02	1.33321e+02	5.64200e-19	1.96880e-21	FF c 0.0	0.9669517	Comp	0.9657407 
2.51189e+08	4.76983e-23	1.00000e+02	1.33321e+02	6.35920e-19	2.81170e-21	FF c 0.0	0.9603454	Comp	0.9795620 
3.16228e+08	5.37130e-23	1.00000e+02	1.33321e+02	7.16110e-19	3.92210e-21	FF c 0.0	0.9512776	Comp	0.9877997 
3.98107e+08	6.10704e-23	1.00000e+02	1.33321e+02	8.14200e-19	5.54670e-21	FF c 0.0	0.9387875	Comp	0.9928005 
5.01187e+08	6.95312e-23	1.00000e+02	1.33321e+02	9.27000e-19	7.80380e-21	FF c 0.0	0.9220785	Comp	0.9957457 
6.30957e+08	7.92896e-23	1.00000e+02	1.33321e+02	1.05710e-18	1.02070e-20	FF c 0.0	0.9051744	Comp	0.9974222 
7.94328e+08	9.09306e-23	1.00000e+02	1.33321e+02	1.21230e-18	1.32650e-20	FF c 0.0	0.8846123	Comp	0.9984290 
1.00000e+09	1.04514e-22	1.00000e+02	1.33321e+02	1.39340e-18	1.69960e-20	FF c 0.0	0.8596228	Comp	0.9990291 
